Flag;Cantidad
-fauto-inc-dec;1
-fbranch-probabilities;1
-fbtr-bb-exclusive;2
-fcaller-saves;1
-fcompare-elim;2
-fconserve-stack;2
-fcrossjumping;2
-fcse-follow-jumps;1
-fcse-skip-blocks;2
-fcx-limited-range;1
-fdata-sections;2
-fdelayed-branch;1
-fdelete-null-pointer-checks;1
-fdevirtualize-speculatively;1
-fdse;1
-fexpensive-optimizations;1
-ffast-math;1
-ffat-lto-objects;1
-ffloat-store;1
-fforward-propagate;1
-ffunction-sections;1
-fgcse;1
-fgcse-sm;2
-fif-conversion;2
-finline-functions;2
-finline-functions-called-once;1
-finline-small-functions;2
-fipa-cp-clone;1
-fipa-icf;2
-fipa-pta;2
-fipa-pure-const;1
-fipa-ra;1
-fipa-reference;2
-fipa-sra;1
-fipa-stack-alignment;2
-fira-loop-pressure;1
-fisolate-erroneous-paths-dereference;1
-fivopts;2
-fkeep-static-consts;1
-flimit-function-alignment;2
-flive-range-shrinkage;1
-floop-strip-mine;2
-flra-remat;2
-flto;1
-fmerge-all-constants;2
-fmerge-constants;1
-fmove-loop-invariants;1
-fno-branch-count-reg;1
-fno-function-cse;1
-fno-guess-branch-probability;2
-fno-inline;2
-fno-ira-share-spill-slots;2
-fno-signed-zeros;2
-fno-toplevel-reorder;1
-fno-zero-initialized-in-bss;1
-fomit-frame-pointer;1
-fpartial-inlining;1
-fpredictive-commoning;1
-fprofile-correction;1
-fprofile-values;1
-freciprocal-math;1
-free;1
-freorder-blocks;2
-freorder-blocks-and-partition;2
-frerun-cse-after-loop;2
-frounding-math;2
-fsched-critical-path-heuristic;1
-fsched-dep-count-heuristic;1
-fsched-last-insn-heuristic;1
-fsched-pressure;2
-fsched-spec-insn-heuristic;2
-fschedule-fusion;1
-fschedule-insns2;2
-fsel-sched-pipelining-outer-loops;1
-fsemantic-interposition;1
-fshrink-wrap-separate;1
-fsplit-paths;2
-fssa-backprop;2
-fssa-phiopt;2
-fstore-merging;2
-fthread-jumps;1
-ftracer;1
-ftree-bit-ccp;2
-ftree-ch;2
-ftree-dce;2
-ftree-dominator-opts;1
-ftree-loop-distribution;1
-ftree-loop-linear;1
-ftree-loop-optimize;2
-ftree-partial-pre;1
-ftree-phiprop;1
-ftree-pre;2
-ftree-pta;2
-ftree-scev-cprop;2
-ftree-switch-conversion;2
-ftree-tail-merge;1
-ftree-vectorize;2
-ftree-vrp;2
-funroll-all-loops;1
-fuse-linker-plugin;2
-finline-limit=7369;1
-fsched-stalled-insns-dep=14733;1
-ffp-contract=fast;2
-fira-algorithm=CB;2
-fira-region=mixed;1
-flto-partition=one;2
-freorder-blocks-algorithm=simple;1
-faggressive-loop-optimizations;1
-fassociative-math;1
-fbranch-target-load-optimize2;1
-fcombine-stack-adjustments;1
-fdevirtualize;1
-fdevirtualize-at-ltrans;1
-fearly-inlining;1
-ffinite-math-only;1
-fgcse-las;1
-fgcse-lm;1
-fhoist-adjacent-loads;1
-fisolate-erroneous-paths-attribute;1
-fkeep-inline-functions;1
-fkeep-static-functions;1
-floop-interchange;1
-floop-unroll-and-jam;1
-fmodulo-sched-allow-regmoves;1
-fno-defer-pop;1
-fno-ira-share-save-slots;1
-fno-math-errno;1
-fno-peephole2;1
-fno-printf-return-value;1
-fno-trapping-math;1
-fprofile-reorder-functions;1
-fsave-optimization-record;1
-fsched-group-heuristic;1
-fsched-rank-heuristic;1
-fsched-spec-load;1
-fschedule-insns;1
-fsel-sched-pipelining;1
-fselective-scheduling;1
-fsignaling-nans;1
-fsingle-precision-constant;1
-fsplit-ivs-in-unroller;1
-fsplit-loops;1
-fsplit-wide-types;1
-ftree-ccp;1
-ftree-coalesce-vars;1
-ftree-copy-prop;1
-ftree-forwprop;1
-ftree-fre;1
-ftree-loop-if-convert;1
-ftree-loop-im;1
-ftree-loop-vectorize;1
-ftree-sink;1
-ftree-slsr;1
-funroll-loops;1
-funswitch-loops;1
-fvariable-expansion-in-unroller;1
-finline-limit=47091;1
-fsched-stalled-insns=15466;1
-fexcess-precision=fast;1
