ID;Generacion;Resultado
0;0;1195056.0
1;0;-1.0
2;0;-1.0
3;0;68888.0
4;0;-1.0
5;0;-1.0
6;0;-1.0
7;0;-1.0
8;0;-1.0
9;0;226824.0
10;0;-1.0
11;0;802088.0
12;0;-1.0
13;0;1063984.0
14;0;27696.0
15;0;-1.0
16;0;-1.0
17;0;605232.0
18;0;605232.0
19;0;-1.0
20;0;27712.0
21;0;-1.0
22;0;26120.0
23;0;-1.0
24;0;-1.0
25;0;28440.0
26;0;27944.0
27;0;341736.0
28;0;-1.0
29;0;540064.0
30;0;-1.0
31;0;-1.0
32;0;-1.0
33;0;-1.0
34;0;1589016.0
35;0;-1.0
36;0;-1.0
37;0;27696.0
38;0;27712.0
39;0;26360.0
22;1;26120.0
39;1;26360.0
14;1;27696.0
37;1;27696.0
20;1;27712.0
38;1;27712.0
26;1;27944.0
25;1;28440.0
40;1;210448.0
41;1;-1.0
42;1;26864.0
43;1;27696.0
44;1;27944.0
45;1;31792.0
46;1;408856.0
47;1;26120.0
48;1;27712.0
49;1;28064.0
50;1;28064.0
51;1;26120.0
52;1;32040.0
53;1;27712.0
54;1;27696.0
55;1;27696.0
56;1;1062776.0
57;1;26344.0
58;1;27712.0
59;1;28040.0
60;1;93248.0
61;1;27696.0
62;1;28064.0
63;1;-1.0
64;1;27712.0
65;1;27928.0
66;1;27712.0
67;1;26360.0
68;1;-1.0
69;1;27944.0
70;1;27712.0
71;1;27696.0
